kernel,spacetime,array_part,latency,simd,path
ttmc,0,"16,16,16,16","1,2,2","1,1","autosa_hls_refs/ttmc/st0_ap16,16,16,16_lat1,2,2_simd1,1/ttmc_st0_ap16,16,16,16_lat1,2,2_simd1,1_kernel_kernel.cpp"
ttmc,0,"32,32,32,32","2,4,4","2,2","autosa_hls_refs/ttmc/st0_ap32,32,32,32_lat2,4,4_simd2,2/ttmc_st0_ap32,32,32,32_lat2,4,4_simd2,2_kernel_kernel.cpp"
ttmc,0,"64,64,64,64","4,8,8","4,4","autosa_hls_refs/ttmc/st0_ap64,64,64,64_lat4,8,8_simd4,4/ttmc_st0_ap64,64,64,64_lat4,8,8_simd4,4_kernel_kernel.cpp"
ttmc,1,"16,16,16,16","1,2,2","1,1","autosa_hls_refs/ttmc/st1_ap16,16,16,16_lat1,2,2_simd1,1/ttmc_st1_ap16,16,16,16_lat1,2,2_simd1,1_kernel_kernel.cpp"
ttmc,1,"32,32,32,32","2,4,4","2,2","autosa_hls_refs/ttmc/st1_ap32,32,32,32_lat2,4,4_simd2,2/ttmc_st1_ap32,32,32,32_lat2,4,4_simd2,2_kernel_kernel.cpp"
ttmc,1,"64,64,64,64","4,8,8","4,4","autosa_hls_refs/ttmc/st1_ap64,64,64,64_lat4,8,8_simd4,4/ttmc_st1_ap64,64,64,64_lat4,8,8_simd4,4_kernel_kernel.cpp"
ttmc,2,"32,32,32,32","2,4,4","2,2","autosa_hls_refs/ttmc/st2_ap32,32,32,32_lat2,4,4_simd2,2/ttmc_st2_ap32,32,32,32_lat2,4,4_simd2,2_kernel_kernel.cpp"
ttmc,2,"64,64,64,64","4,8,8","4,4","autosa_hls_refs/ttmc/st2_ap64,64,64,64_lat4,8,8_simd4,4/ttmc_st2_ap64,64,64,64_lat4,8,8_simd4,4_kernel_kernel.cpp"
ttmc,3,"16,16,16,16","1,2,2","1,1","autosa_hls_refs/ttmc/st3_ap16,16,16,16_lat1,2,2_simd1,1/ttmc_st3_ap16,16,16,16_lat1,2,2_simd1,1_kernel_kernel.cpp"
ttmc,3,"32,32,32,32","2,4,4","2,2","autosa_hls_refs/ttmc/st3_ap32,32,32,32_lat2,4,4_simd2,2/ttmc_st3_ap32,32,32,32_lat2,4,4_simd2,2_kernel_kernel.cpp"
ttmc,3,"64,64,64,64","4,8,8","4,4","autosa_hls_refs/ttmc/st3_ap64,64,64,64_lat4,8,8_simd4,4/ttmc_st3_ap64,64,64,64_lat4,8,8_simd4,4_kernel_kernel.cpp"
ttmc,3,"128,128,128,128","8,16,16","8,8","autosa_hls_refs/ttmc/st3_ap128,128,128,128_lat8,16,16_simd8,8/ttmc_st3_ap128,128,128,128_lat8,16,16_simd8,8_kernel_kernel.cpp"
ttmc,4,"16,16,16,16","1,2,2","1,1","autosa_hls_refs/ttmc/st4_ap16,16,16,16_lat1,2,2_simd1,1/ttmc_st4_ap16,16,16,16_lat1,2,2_simd1,1_kernel_kernel.cpp"
ttmc,4,"32,32,32,32","2,4,4","2,2","autosa_hls_refs/ttmc/st4_ap32,32,32,32_lat2,4,4_simd2,2/ttmc_st4_ap32,32,32,32_lat2,4,4_simd2,2_kernel_kernel.cpp"
